from_revision,old_id,old_title,to_revision,new_id,new_title,disposition,target_action,note
book34-chat-v2-20260914,3.3.1,Waarom landen handelen: specialisatie en concurrentiepositie,book34-lesson-balance-v3-20260915,3.3.1,Waarom landen handelen: specialisatie en concurrentiepositie,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.3.2,"Wereldmarktprijs, import, export en welvaart",book34-lesson-balance-v3-20260915,3.3.2,"Wereldmarktprijs, import, export en welvaart",retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.3.3,Protectionisme: invoerheffingen en importquota,book34-lesson-balance-v3-20260915,3.3.3,Protectionisme: invoerheffingen en importquota,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.3.4,Gemengde opgaven: internationale handel,book34-lesson-balance-v3-20260915,3.3.4,Gemengde opgaven: internationale handel,retain;repair_retrieval,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Retain the trade target and its conceptual/numerical boundaries. Replace or relocate current closing review 38b, which asks for long-run entry/price adjustment; rewrite the forward pointer so Book 4 first completes long-run competition, then introduces monopoly."
book34-chat-v2-20260914,4.1.1,Monopolie: kenmerken,book34-lesson-balance-v3-20260915,4.1.2,Monopolie: kenmerken,renumber,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Move existing monopoly features to the second paragraph. Preserve the Eilandveer target; add only a short link from free entry to entry barriers. A monopoly may retain economic profit, but the source still has to establish its actual profitability."
book34-chat-v2-20260914,4.1.2,Marginale opbrengst bij monopolie,book34-lesson-balance-v3-20260915,4.1.3,Marginale opbrengst bij monopolie,renumber,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Renumber only in substance: the derivative is now independently taught in Book 3 §3.2.2. Preserve the interval/point revenue explanation, uniform-price assumption and Prisma target."
book34-chat-v2-20260914,4.1.3,Winstmaximalisatie bij monopolie,book34-lesson-balance-v3-20260915,4.1.4,Winstmaximalisatie bij monopolie,renumber,Review changed target/dependencies; no approval inherited merely from numeric ID.,Preserve the valid monopoly optimisation target and its answers. Update the prior optimum reference to Book 3 §3.2.3 and the revenue reference to new §4.1.3.
book34-chat-v2-20260914,4.1.4,Gemengde opgaven: monopolie,book34-lesson-balance-v3-20260915,4.1.5,Gemengde opgaven: concurrentie en monopolie,renumber,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Reuse Kleurfix and the separate competitive case. A compact contrast about entry may retrieve new §4.1.1, but it must replace comparable work rather than add an entire second long-run target. Keep the same one-lesson core and avoid claiming all competitive/monopoly comparisons hold other market conditions constant."
book34-chat-v2-20260914,4.2.1,Welvaartseffecten van monopolie,book34-lesson-balance-v3-20260915,4.2.1,Welvaartseffecten van monopolie,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.2.2,Prijsdiscriminatie,book34-lesson-balance-v3-20260915,4.2.2,Prijsdiscriminatie,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.2.3,Marktvormen vergelijken,book34-lesson-balance-v3-20260915,4.2.3,Marktvormen vergelijken,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.2.4,Negatieve externe effecten,book34-lesson-balance-v3-20260915,4.2.4,Negatieve externe effecten,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.2.5,Positieve externe effecten,book34-lesson-balance-v3-20260915,4.2.5,Positieve externe effecten,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.2.6,Overheidsingrijpen bij marktfalen,book34-lesson-balance-v3-20260915,4.2.6,Overheidsingrijpen bij marktfalen,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.2.7,Gemengde opgaven: marktvormen en marktfalen,book34-lesson-balance-v3-20260915,4.2.7,Gemengde opgaven: marktvormen en marktfalen,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.3.1,Arbeidsvraag en arbeidsproductiviteit,book34-lesson-balance-v3-20260915,4.3.1,Arbeidsvraag en arbeidsproductiviteit,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.3.2,"Arbeidsaanbod, participatie en evenwicht",book34-lesson-balance-v3-20260915,4.3.2,"Arbeidsaanbod, participatie en evenwicht",retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.3.3,Werkloosheid en veranderingen op de arbeidsmarkt,book34-lesson-balance-v3-20260915,4.3.3,Werkloosheid en veranderingen op de arbeidsmarkt,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.3.4,Minimumloon,book34-lesson-balance-v3-20260915,4.3.4,Minimumloon,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,4.3.5,"Vakbonden, cao en arbeidsmarktbeleid",book34-lesson-balance-v3-20260915,,"Deferred: collective bargaining, cao and agreement-policy evaluation",defer_from_year_1,Preserve source/history; record later-year destination and capacity before prerequisite use. No inherited approval.,No later-year numeric ID has been assigned.
book34-chat-v2-20260914,4.3.6,Gemengde opgaven: arbeidsmarkt,book34-lesson-balance-v3-20260915,4.3.5,Gemengde opgaven: arbeidsmarkt,renumber;revise_scope,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Keep a complete mixed lesson. The saved lesson comes from genuinely deferring old §4.3.5, not from compressing its goals into this paragraph. The current lesson count is five, not four."
