paragraph_id,title,target,old_ids,disposition,record_status,source,target_payload_sha256,one_lesson_status
4.1.5,Gemengde opgaven: concurrentie en monopolie,45,4.1.4,renumber,candidate_review_ready,books/book-4/chapters/4.1/4.1.5 manuscript.md,941b2f782eed64bcbe2d15c355a48b64b74e9bfb7c71ad8c2f68827d42136b08,designed_not_classroom_measured
4.2.1,Welvaartseffecten van monopolie,7,4.2.1,retain,candidate_review_ready,books/book-4/chapters/4.2/4.2.1 manuscript.md,47cb5740def371fcac2b667533a523902e33ab5e9010d3daa3f019dc00e6f0fe,designed_not_classroom_measured
4.2.2,Prijsdiscriminatie,16,4.2.2,retain,candidate_review_ready,books/book-4/chapters/4.2/4.2.2 manuscript.md,1d53deea710942b70163ff9c2514953adae4f51aa3c82eb7873562cd25351650,designed_not_classroom_measured
4.2.3,Marktvormen vergelijken,25,4.2.3,retain,candidate_review_ready,books/book-4/chapters/4.2/4.2.3 manuscript.md,262057370bda04c200f798063091379b614f692358d471c7da5e444dc3b0b784,designed_not_classroom_measured
4.2.4,Negatieve externe effecten,34,4.2.4,retain,candidate_review_ready,books/book-4/chapters/4.2/4.2.4 manuscript.md,ca62bace59e3aaab2105cba5456c344c00731e6ae428bfd3e7baf02341ec2796,open_existing_timing_conflict
4.2.5,Positieve externe effecten,43,4.2.5,retain,candidate_review_ready,books/book-4/chapters/4.2/4.2.5 manuscript.md,603525d0338ec34eda1d82398485123c51a02e88c1d84b784cf85e21a6b349f4,open_existing_timing_conflict
4.2.6,Overheidsingrijpen bij marktfalen,52,4.2.6,retain,candidate_review_ready,books/book-4/chapters/4.2/4.2.6 manuscript.md,31e1deee6f0e2e3981a4c988c014c20174b1427efe3a74297fd7249ea72defce,designed_not_classroom_measured
4.2.7,Gemengde opgaven: marktvormen en marktfalen,58,4.2.7,retain,candidate_review_ready,books/book-4/chapters/4.2/4.2.7 manuscript.md,e6e04d102e211293072615b3a2bb470878e0bb69ba45ebf852de331f645f7c21,designed_not_classroom_measured
4.3.1,Arbeidsvraag en arbeidsproductiviteit,7,4.3.1,retain,candidate_review_ready,books/book-4/chapters/4.3/4.3.1 manuscript.md,e952d70b517726e8582061fabd05088e949ae87ece7525451f9bb6f75971accc,designed_not_classroom_measured
4.3.2,"Arbeidsaanbod, participatie en evenwicht",16,4.3.2,retain,candidate_review_ready,books/book-4/chapters/4.3/4.3.2 manuscript.md,67fafb4a743798a9f8bd0f41125a240f47a45475ac0ff04820b182cf1d30182d,designed_not_classroom_measured
4.3.3,Werkloosheid en veranderingen op de arbeidsmarkt,25,4.3.3,retain,candidate_review_ready,books/book-4/chapters/4.3/4.3.3 manuscript.md,0792cca40a0f31014b8be24d61b4d842ea49b0164f9a4e54afe6b4a96782ca0b,designed_not_classroom_measured
4.3.4,Minimumloon,34,4.3.4,retain,candidate_review_ready,books/book-4/chapters/4.3/4.3.4 manuscript.md,1ba18ca6308b0c4fdc4895b3dbe3ce1a90ccecad4ceb8c5f4c673515be8efed2,designed_not_classroom_measured
4.3.5,Gemengde opgaven: arbeidsmarkt,40,4.3.6,renumber;revise_scope,candidate_review_ready,books/book-4/chapters/4.3/4.3.5 manuscript.md,0d9d7d956efd45a545a9dc05e6a68e102ba920d064399b984ead734b3475a075,designed_not_classroom_measured
