id,book,chapter,outline_title,kind,delivered_heading,chapter_page,complete_book_page,source_archive,source_member,source_sha256
3.3.4,3,3.3,Gemengde opgaven: internationale handel,gemengde_opgaven,3.3.4 · Gemengde opgaven: internationale handel,31,121,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H3_Bronpakket.zip,Boek_3_H3_bronpakket/3.3.4 manuscript.md,889b0bcec573047b8e3254f15664d73599afd0f8e850bc9e90d84297ae8b2d38
4.1.1,4,4.1,Monopolie: kenmerken,theory,4.1.1 Monopolie: kenmerken,2,6,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H1_bronpakket/4.1.1 manuscript.md,070d5ffa88c1144885b5de62111283f01870005562df34d3ba93ab2f53524bc5
4.1.2,4,4.1,Marginale opbrengst bij monopolie,theory,4.1.2 Marginale opbrengst bij monopolie,10,14,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H1_bronpakket/4.1.2 manuscript.md,5183744848fbdac8c53c5a9d5a10c7b6995add42d3bb1387d412adba8586e523
4.1.3,4,4.1,Winstmaximalisatie bij monopolie,theory,4.1.3 Winstmaximalisatie bij monopolie,21,25,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H1_bronpakket/4.1.3 manuscript.md,af060f649a0448b804665ef621239d5926253c4631216d7b8e5df5e28da9b984
4.1.4,4,4.1,Gemengde opgaven: monopolie,gemengde_opgaven,4.1.4 Gemengde opgaven: monopolie,32,36,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H1_bronpakket/4.1.4 manuscript.md,d8a93ab8d8aa106a88b64e9cc9529918aef87689a010d32409c225a77a7c9146
4.2.1,4,4.2,Welvaartseffecten van monopolie,theory,4.2.1 Welvaartseffecten van monopolie,3,45,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H2_bronpakket/4.2.1 manuscript.md,8f3c598afecf76dec5c1b7f5c4f1f5cd0a15127454d7a85fa81805122c417f1b
4.2.2,4,4.2,Prijsdiscriminatie,theory,4.2.2 Prijsdiscriminatie,11,53,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H2_bronpakket/4.2.2 manuscript.md,5c4b3ec3c3c2bf9895db504013c4b38f8db416cfc11f723f654aaecf36012c34
4.2.3,4,4.2,Marktvormen vergelijken,theory,4.2.3 Marktvormen vergelijken,19,61,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H2_bronpakket/4.2.3 manuscript.md,bc7344537b280b8b0a9fa8d1cf7fb2bc3c8f4c31f3277ce657609283a4a82705
4.2.4,4,4.2,Negatieve externe effecten,theory,4.2.4 Negatieve externe effecten,25,67,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H2_bronpakket/4.2.4 manuscript.md,3c90bc3e4fd07b972dace34e4ff2c938a957e7445584bc170d77e32496e52731
4.2.5,4,4.2,Positieve externe effecten,theory,4.2.5 Positieve externe effecten,36,78,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H2_bronpakket/4.2.5 manuscript.md,4676ede94848394138dd1182175a71346fbd7e9dedca805afbeb8e18956ef075
4.2.6,4,4.2,Overheidsingrijpen bij marktfalen,theory,4.2.6 Overheidsingrijpen bij marktfalen,47,89,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H2_bronpakket/4.2.6 manuscript.md,50dce9737eddd5271e708524de8c51e899a9e5c98d05fd45909a8ff92b286920
4.2.7,4,4.2,Gemengde opgaven: marktvormen en marktfalen,gemengde_opgaven,4.2.7 Gemengde opgaven,53,95,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H2_bronpakket/4.2.7 manuscript.md,11c7ee5ff54620f9dea688bf42c3535eecaedb6e47d99f93c5ed3b00ea1acc67
4.3.1,4,4.3,Arbeidsvraag en arbeidsproductiviteit,theory,4.3.1 Arbeidsvraag en arbeidsproductiviteit,2,104,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H3_bronpakket/4.3.1 manuscript.md,e70744bc44ce3e826211246a52eaebaceb51dbb496e184b20b633ef628d95ad8
4.3.2,4,4.3,"Arbeidsaanbod, participatie en evenwicht",theory,"4.3.2 Arbeidsaanbod, participatie en evenwicht",12,114,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H3_bronpakket/4.3.2 manuscript.md,35350c335a99f02f900dbc3889cf37f4b0e82cd7182f14e267b3ca10a3d56cdd
4.3.3,4,4.3,Werkloosheid en veranderingen op de arbeidsmarkt,theory,4.3.3 Werkloosheid en veranderingen,20,122,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H3_bronpakket/4.3.3 manuscript.md,30f09147b838bbbaabe1532c95851068979d9157c49c6df96e4cfa6f3d186e57
4.3.4,4,4.3,Minimumloon,theory,4.3.4 Minimumloon,29,131,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H3_bronpakket/4.3.4 manuscript.md,bb1be5a91fc2fbe361851066aa21c5ce9ad17a6e4098368955e415a0ba39d188
4.3.5,4,4.3,"Vakbonden, cao en arbeidsmarktbeleid",theory,"4.3.5 Vakbonden, cao en arbeidsmarktbeleid",37,139,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H3_bronpakket/4.3.5 manuscript.md,bd6faae28add0e35a3f919eaf2597b7881601c1508df24669df5c454490ef0b8
4.3.6,4,4.3,Gemengde opgaven: arbeidsmarkt,gemengde_opgaven,4.3.6 Gemengde opgaven: arbeidsmarkt,44,146,Boek_4_Compleet_Bronpakket.zip,Boek_4_Compleet_bronpakket/source_chapters/Boek_4_H3_bronpakket/4.3.6 manuscript.md,8f73972eab5582d24d13a5bb57897cf137c3f51e3c461905f3ee5368236bca3a
